movie_id,rotten_tomatoes_link
3595,m/1074298-ransom
12123,m/1072457-chain_reaction
10830,m/1072107-matilda
3573,m/1073316-emma
10546,m/crow_the_city_of_angels
47907,m/spitfire_grill
549,m/basquiat
10478,m/tin_cup
238,m/godfather
9303,m/bound
11015,m/relic
9306,m/1010752-island_of_dr_moreau
9306,m/1072156-island_of_dr_moreau
10723,m/1073161-bulletproof
872,m/singin_in_the_rain
2769,m/american_in_paris
164,m/breakfast_at_tiffanys
426,m/vertigo
567,m/1017289-rear_window
3078,m/it_happened_one_night
213,m/north-by-northwest
284,m/1001115-apartment
239,m/some_like_it_hot
4808,m/1003883-charade
289,m/1003707-casablanca
963,m/1013139-maltese_falcon
6620,m/1018047-sabrina
6620,m/1068326-sabrina
804,m/roman_holiday
630,m/the_wizard_of_oz_1939
770,m/gone_with_the_wind
599,m/sunset_boulevard
15,m/citizen_kane
62,m/2001_a_space_odyssey
705,m/1000626-all_about_eve
22490,m/10009516-women
22490,m/1023906-women
303,m/10009632-notorious
4174,m/1122382-spellbound
381,m/to_catch_a_thief
1859,m/ninotchka
10907,m/1000355-adventures_of_robin_hood
1939,m/1012007-laura
3080,m/top_hat
1712,m/giant
220,m/1006416-east_of_eden
3529,m/thin_man
1585,m/its_a_wonderful_life
3083,m/mr_smith_goes_to_washington
10331,m/1015052-night_of_the_living_dead
10331,m/night_of_the_living_dead_1990
488,m/the_african_queen_1951
261,m/1003755-cat_on_a_hot_tin_roof
22649,m/10004835-farewell_to_arms
22649,m/farewell_to_arms
10861,m/maximum_risk
1770,m/michael_collins
9333,m/last_man_standing
9400,m/set_it_off
12241,m/curdled
11306,m/extreme_measures
6346,m/chamber
6346,m/the_chamber_2018
173,m/1000079-20000_leagues_under_the_sea
864,m/1046227-cool_runnings
11224,m/cinderella
11224,m/cinderella_2013
9078,m/sword_in_the_stone
8367,m/robin_hood_prince_of_thieves
433,m/mary_poppins
11360,m/dumbo
11360,m/dumbo_2019
12335,m/bedknobs_and_broomsticks
12092,m/1029112-alice_in_wonderland
12092,m/1046873-alice_in_wonderland
12092,m/1221547-alice_in_wonderland
12092,m/1223275-alice_in_wonderland
10948,m/fox_and_the_hound
15121,m/sound_of_music
562,m/die_hard
10163,m/lawnmower_man
41843,m/surviving_picasso
11412,m/long_kiss_goodnight
10586,m/ghost_and_the_darkness
49471,m/get_on_the_bus
38153,m/shadow_conspiracy
25147,m/jude
454,m/william_shakespeares_romeo_and_juliet
10218,m/swingers
11302,m/bananas
623,m/fish_called_wanda
11575,m/1008852-great_race
475,m/bonnie_and_clyde
521,m/dial_m_for_murder
88,m/dirty_dancing
88,m/dirty_dancing_2016
500,m/reservoir_dogs
792,m/platoon
8491,m/weekend_at_bernies
402,m/basic_instinct
10537,m/doors
11386,m/crying_game
9504,m/glengarry_glen_ross
15764,m/sophies_choice
601,m/et_the_extraterrestrial
2119,m/days_of_thunder
744,m/top_gun
702,m/1020333-streetcar_named_desire
1630,m/people_vs_larry_flynt
11843,m/return_of_the_pink_panther
10379,m/drop_dead_fred
790,m/fog
790,m/the_fog_1980
1103,m/1006717-escape_from_new_york
11298,m/howling
762,m/monty_python_and_the_holy_grail
49763,m/bad_moon
892,m/delicatessen
409,m/english_patient
10409,m/1045568-strictly_ballroom
10174,m/madonna_truth_or_dare
31225,m/paris_is_burning
510,m/one_flew_over_the_cuckoos_nest
2493,m/princess_bride
85,m/raiders_of_the_lost_ark
679,m/1000617-aliens
429,m/the_good_the_bad_and_the_ugly
389,m/1079908-12_angry_men
947,m/lawrence_of_arabia
185,m/clockwork_orange
595,m/to_kill_a_mockingbird
28,m/apocalypse_now
335,m/once_upon_a_time_in_the_west
144,m/wings_of_desire
769,m/1032176-goodfellas
348,m/alien
11645,m/ran
539,m/1084964-psycho
539,m/psycho
525,m/blues_brothers
600,m/full_metal_jacket
279,m/amadeus
1578,m/raging_bull
703,m/annie_hall
9277,m/1020130-sting
218,m/terminator
9665,m/1008415-glory
379,m/millers_crossing
207,m/dead_poets_society
37247,m/graduate
1480,m/1021749-touch_of_evil
826,m/bridge_on_the_river_kwai
829,m/chinatown
3090,m/treasure_of_the_sierra_madre
694,m/shining
235,m/stand_by_me_1986
5925,m/the_great_escape
11778,m/the_deer_hunter
137,m/groundhog_day
33,m/1041911-unforgiven
982,m/1013227-manchurian_candidate
982,m/manchurian_candidate
105,m/back_to_the_future
1633,m/fried_green_tomatoes
11202,m/patton
149,m/akira
8009,m/highlander
903,m/cool_hand_luke
3034,m/young_frankenstein
339,m/night_on_earth
914,m/great_dictator
288,m/1046060-high_noon
665,m/ben_hur_2016
665,m/benhur
11031,m/this_is_spinal_tap
89,m/indiana_jones_and_the_last_crusade
783,m/gandhi
10644,m/unbearable_lightness_of_being
11257,m/a_room_with_a_view_1985
625,m/killing_fields
830,m/forbidden_planet
642,m/1003318-butch_cassidy_and_the_sundance_kid
655,m/paris_texas
814,m/american_werewolf_in_london
571,m/1002448-birds
6114,m/1006234-dracula
6114,m/1006235-dracula
6114,m/1006236-dracula
9529,m/candyman
1598,m/1003492-cape_fear
1598,m/1037581-cape_fear
7340,m/1003625-carrie
7340,m/1123000-carrie
7340,m/carrie
7340,m/carrie_1952
377,m/nightmare_on_elm_street
377,m/nightmare_on_elm_street_2010
794,m/1015517-omen
794,m/omen
199,m/star_trek_first_contact
12498,m/sling_blade
9279,m/jingle_all_the_way
21539,m/preachers_wife
11674,m/101_dalmatians
11674,m/1074108-101_dalmatians
1573,m/die_hard_2_1990
152,m/star_trek_the_motion_picture
154,m/star_trek_ii_the_wrath_of_khan
364,m/batman_returns
11967,m/young_guns
621,m/grease
9037,m/grease_2
10173,m/marked_for_death
8845,m/under_siege
578,m/jaws
579,m/jaws_2
75,m/mars_attacks
13891,m/citizen_ruth
378,m/raising_arizona
9819,m/marvins_room
4232,m/1074316-scream
9361,m/1040678-last_of_the_mohicans
8818,m/evita
34314,m/1074496-turbulence
8860,m/1074675-1074675-metro
9619,m/dantes_peak
26306,m/prefontaine
66,m/absolute_power
11419,m/vegas_vacation
638,m/lost_highway
25624,m/rosewood
9366,m/donnie_brasco
9403,m/1075777-private_parts
10003,m/saint
16052,m/1073427-selena
4477,m/devils_own
24662,m/cats_dont_dance
6499,m/turbo_a_power_rangers_movie
50512,m/1001063-anna_karenina
50512,m/1076620-anna_karenina
50512,m/anna_karenina_2012
9360,m/anaconda
816,m/austin_powers_international_man_of_mystery
2163,m/1077077-breakdown
18,m/fifth_element
1701,m/con_air
415,m/1077027-batman_and_robin
11970,m/hercules
11970,m/hercules_the_thracian_wars
8874,m/my_best_friends_wedding
266,m/contempt
754,m/faceoff
607,m/men_in_black
17834,m/simple_wish
686,m/1078021-contact
4421,m/gi_jane
9387,m/conan_the_barbarian
9387,m/conan_the_barbarian_2011
2142,m/cop_land
8413,m/event_horizon
10336,m/spawn
20737,m/air_bud
9413,m/1078216-picture_perfect
8834,m/conspiracy_theory
8854,m/1078035-steel
9772,m/air_force_one
6072,m/one_eight_seven
1669,m/hunt_for_red_october
2118,m/la_confidential
978,m/1079716-seven_years_in_tibet
9437,m/kiss_the_girls
10351,m/wishmaster
2649,m/1078955-game
14289,m/1078038-fire_down_below
68924,m/ice_storm
2255,m/chasing_amy
9427,m/full_monty
3597,m/i_know_what_you_did_last_summer
1813,m/devils_advocate
12628,m/playing_god
33344,m/house_of_yes
782,m/gattaca
10871,m/switchback
10890,m/stripes
1281,m/bean
9770,m/mad_city
12616,m/1079718-one_night_stand
11975,m/1080867-rainmaker
4995,m/boogie_nights
9281,m/1023854-witness
563,m/starship_troopers
19931,m/joy_luck_club
10215,m/sliding_doors
9823,m/mortal_kombat_annihilation
37165,m/truman_show
4824,m/jackal
9444,m/1031763-anastasia
9444,m/1079818-anastasia
9414,m/man_who_knew_too_little
11831,m/amistad
9574,m/flubber
10371,m/for_richer_or_poorer
489,m/good_will_hunting
9714,m/home_alone_3
8197,m/midnight_in_the_garden_of_good_and_evil
4233,m/scream_2
10217,m/sweet_hereafter
597,m/1056130-titanic
597,m/titanic
714,m/tomorrow_never_dies
9922,m/postman
547,m/horse_whisperer
184,m/jackie_brown
115,m/the_big_lebowski
9410,m/1081200-great_expectations
9410,m/great_expectations_1947
9410,m/great_expectations_2012
586,m/wag_the_dog
2666,m/dark_city
11258,m/hard_rain
9490,m/half_baked
6116,m/spice_world
9457,m/deep_rising
11702,m/replacement_killers
11568,m/blues_brothers_2000
11003,m/wedding_singer
10153,m/sphere
2898,m/as_good_as_it_gets
9558,m/king_of_new_york
11808,m/us_marshals
42807,m/newton_boys
617,m/wild_things
32456,m/two_girls_and_a_guy
17127,m/object_of_my_affection
2157,m/lost_in_space
29193,m/spanish_prisoner
795,m/city_of_angels
9469,m/he_got_game
16148,m/zero_effect
78149,m/an_alan_smithee_film_burn_hollywood_burn
10216,m/species_2
9448,m/big_hit
8656,m/deep_impact
58680,m/woo
18937,m/quest_for_camelot
929,m/godzilla
929,m/godzilla_2014
9452,m/bulworth
1878,m/fear_and_loathing_in_las_vegas
9844,m/opposite_of_sex
1965,m/1083171-perfect_murder
15037,m/cant_hardly_wait
10674,m/mulan
3050,m/doctor_dolittle
1389,m/1083436-1083436-out_of_sight
9464,m/buffalo_66
95,m/armageddon
944,m/lethal_weapon_4
11551,m/small_soldiers
473,m/pi
544,m/theres_something_about_mary
65203,m/broadway_melody
33680,m/grand_hotel
56164,m/cavalcade
12311,m/1014481-mutiny_on_the_bounty
12311,m/1014482-mutiny_on_the_bounty
34106,m/you_cant_take_it_with_you_1938
43266,m/how_green_was_my_valley
27367,m/mrs_miniver
28580,m/lost_weekend
887,m/best_years_of_our_lives
33667,m/gentlemans_agreement
27191,m/greatest_show_on_earth
11426,m/1007931-from_here_to_eternity
654,m/on_the_waterfront
15919,m/1013427-marty
1725,m/west_side_story
5769,m/tom_jones
874,m/1013162-man_for_all_seasons
10633,m/in_the_heat_of_the_night
17917,m/oliver
3116,m/midnight_cowboy
1051,m/french_connection
1366,m/1017776-rocky
12102,m/kramer_vs_kramer
9443,m/chariots_of_fire
606,m/out_of_africa
746,m/last_emperor
380,m/rain_man
13820,m/repo_man
13597,m/labyrinth
2108,m/breakfast_club
10072,m/a_nightmare_on_elm_street_3_dream_warriors
10131,m/a_nightmare_on_elm_street_4_the_dream_master
10160,m/a_nightmare_on_elm_street_5_the_dream_child
11284,m/freddys_dead_the_final_nightmare
4488,m/friday_the_13th_part_1
4488,m/friday_the_13th_prequel
9725,m/friday_the_13th_part_2
948,m/1009113-halloween
948,m/halloween_2007
948,m/halloween_2018
11281,m/halloween_ii
10676,m/halloween_iii_season_of_the_witch
11357,m/halloween_4_the_return_of_michael_myers
11361,m/halloween_5_the_revenge_of_michael_myers
36599,m/1016834-prom_night
36599,m/prom_night
10585,m/childs_play
10585,m/childs_play_2019
11186,m/childs_play_2
11187,m/childs_play_3
609,m/1016513-poltergeist
609,m/poltergeist-2009
10306,m/poltergeist_iii
9552,m/exorcist
11586,m/exorcist_ii_the_heretic
941,m/lethal_weapon
942,m/lethal_weapon_2
943,m/lethal_weapon_3
927,m/gremlins
928,m/gremlins_2_the_new_batch
9340,m/goonies
9342,m/mask_of_zorro
19,m/1013775-metropolis
165,m/back_to_the_future_2
196,m/back_to_the_future_3
551,m/1016584-poseidon_adventure
3170,m/bambi
859,m/1005199-dangerous_liaisons
859,m/dangerous_liaisons_2012
841,m/1006364-dune
11051,m/last_temptation_of_christ
1411,m/rapture
9769,m/1012611-lolita
9769,m/1084881-lolita
9424,m/disturbing_behavior
857,m/saving_private_ryan
10957,m/black_cauldron
9570,m/1002497-black_hole
65157,m/cheetah
9994,m/the-great-mouse-detective
10439,m/hocus_pocus
9354,m/honey_i_shrunk_the_kids
9631,m/1083481-negotiator
1779,m/roger_and_me
10849,m/purple_rose_of_cairo
907,m/1006037-doctor_zhivago
11974,m/the_burbs
793,m/blue_velvet
9325,m/1031385-jungle_book
9325,m/the_jungle_book_2016
10144,m/the_little_mermaid_1989
10414,m/mighty_ducks
10693,m/1016213-peter_pan
10693,m/1128577-peter_pan
11135,m/rescuers_down_under
11319,m/the_rescuers_1977
13155,m/1017488-return_to_oz
10249,m/rocketeer
10882,m/1019187-sleeping_beauty
10882,m/sleeping_beauty_2011
2619,m/1019641-splash
97,m/tron
227,m/outsiders
87,m/indiana_jones_and_the_temple_of_doom
123,m/lord_of_the_rings
11336,m/dead_zone
9980,m/maximum_overdrive
10489,m/cujo
10823,m/1004047-children_of_the_corn
10823,m/1220545-children_of_the_corn
11497,m/all_dogs_go_to_heaven
2907,m/addams_family
2907,m/the_addams_family_2019
